25391,HUMANIDADES,LITERATURA ESPECÍFICA,OTROS,PUEBLA
25489,INTERDISCIPLINARIA,INGENIERÍA ELECTRÓNICA,FIBRAS ÓPTICAS,PUEBLA
25555,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,OTRAS ESPECIALIDADES MATEMÁTICAS,OTRAS,PUEBLA
25943,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,ANÁLISIS Y ANÁLISIS FUNCIONAL,ANÁLISIS ARMÓNICO,PUEBLA
26157,MEDICINA Y CIENCIAS DE LA SALUD,"FISIOPATOLOGÍA, FISIOLOGÍA CLÍNICA GENERAL","FISIOPATOLOGÍA, FISIOLOGÍA CLÍNICA GENERAL",PUEBLA
30150,"CIENCIAS DE AGRICULTURA, AGROPECUARIAS, FORESTALES Y DE ECOSISTEMAS",BIOTECNOLOGÍA AMBIENTAL,OTRAS,PUEBLA
30328,HUMANIDADES,SISTEMAS FILOSÓFICOS,FILOSOFÍA ACTUAL,PUEBLA
30599,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,OTRAS ESPECIALIDADES FÍSICAS,OTRAS,PUEBLA
30787,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,TOPOLOGÍA,TOPOLOGÍA GENERAL,PUEBLA
30905,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FISICA DEL ESTADO SOLIDO,CARACTERIZACION DE MATERIALES,PUEBLA
30927,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DEL ESTADO SÓLIDO,NANOCIENCIAS,PUEBLA
31021,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,FÍSICA DE ALTAS ENERGÍAS,FÍSICA TEÓRICA ALTAS ENERGÍAS,PUEBLA
31195,BIOLOGÍA Y QUÍMICA,MICROBIOLOGÍA,PROCESOS MICROBIANOS,PUEBLA
31198,HUMANIDADES,"TEORIA, ANALISIS Y CRITICA DE LAS BELLAS ARTES",OTROS,EXCEPTUADO CONFORME AL ARTÍCULO 28 FRACCIÓN I DEL REGLAMENTO SNII
31218,HUMANIDADES,HISTORIA POR ESPECIALIDADES,HISTORIA DE LA EDUCACIÓN,PUEBLA
31286,BIOLOGÍA Y QUÍMICA,QUÍMICA ORGÁNICA,SÍNTESIS QUÍMICA,PUEBLA
31568,CIENCIAS SOCIALES,SOCIOLOGÍA CULTURAL,SOCIOLOGÍA DE LA RELIGIÓN,PUEBLA
33636,BIOLOGÍA Y QUÍMICA,QUÍMICA GENERAL,"QUÍMICA GENERAL,",PUEBLA
33831,MEDICINA Y CIENCIAS DE LA SALUD,"ENFERMEDADES INFECCIOSAS, BACTERIOLOGÍA CLÍNICA, VIROLOGÍA CLÍNICA","ENFERMEDADES INFECCIOSAS, BACTERIOLOGÍA CLÍNICA, VIROLOGÍA CLÍNICA",PUEBLA
33840,BIOLOGÍA Y QUÍMICA,QUÍMICA FÍSICA,TERMOQUÍMICA,PUEBLA
33878,"CIENCIAS DE AGRICULTURA, AGROPECUARIAS, FORESTALES Y DE ECOSISTEMAS",FISIOLOGÍA MICROBIANA Y ÁREAS EMERGENTES,OTRAS,PUEBLA
33919,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,TOPOLOGÍA,TOPOLOGÍA GENERAL,PUEBLA
35015,CIENCIAS SOCIALES,CAMBIO Y DESARROLLO SOCIAL,TECNOLOGÍA Y CAMBIO SOCIAL,SIN INSTITUCIÓN
35740,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,INGENIERÍA ELECTRÓNICA,SISTEMAS ELECTRÓNICOS,PUEBLA
35799,CIENCIAS DE LA CONDUCTA Y LA EDUCACIÓN,PSICOLOGÍA EXPERIMENTAL,ACTIVIDAD CEREBRAL,PUEBLA
35809,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,TOPOLOGÍA,TOPOLOGÍA GENERAL,PUEBLA
35901,CIENCIAS SOCIALES,SOCIOLOGÍA GENERAL,OTRAS,PUEBLA
35916,BIOLOGÍA Y QUÍMICA,NEUROCIENCIAS,NEUROFISIOLOGÍA,PUEBLA
36071,FÍSICO-MATEMÁTICAS Y CIENCIAS DE LA TIERRA,ÓPTICA,LÁSERES,PUEBLA
36102,INGENIERÍAS Y DESARROLLO TECNOLÓGICO,TECNOLOGÍA ELECTRÓNICA,DISPOSITIVOS SEMICONDUCTORES,PUEBLA
